"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","tissue"
"Rpl31",1.37296117264665e-22,-0.530726216018504,1,1,3.45011413074376e-18,"Rpl31","RM"
"Atp6v0c",1.59567266527497e-22,-1.06763256456804,1,1,4.00976584056947e-18,"Atp6v0c","RM"
"Ramp3",1.72840834792347e-22,-1.42823909403346,1,1,4.34331733749688e-18,"Ramp3","RM"
"Gabarap",2.48434656391798e-22,-0.744920340714796,1,1,6.2429144804695e-18,"Gabarap","RM"
"mt-Co1",2.8544553174536e-22,-0.136984971686501,1,1,7.17296076722916e-18,"mt-Co1","RM"
"Ftl1",2.85587559738219e-22,-0.588815824261816,1,1,7.17652978866171e-18,"Ftl1","RM"
"Eid1",3.10773324479258e-22,-1.09645018833942,1,1,7.80942287083929e-18,"Eid1","RM"
"mt-Co3",3.29939077381669e-22,-0.195889662043311,1,1,8.29103907552396e-18,"mt-Co3","RM"
"Smpdl3a",3.50425128153212e-22,-0.975227309837898,1,1,8.80583304536206e-18,"Smpdl3a","RM"
"Ms4a4b",3.55632666208542e-22,2.40786154111403,1,1,8.93669326915445e-18,"Ms4a4b","RM"
"Atp5mpl",4.26618356139757e-22,-0.766418290357402,1,1,1.0720492671436e-17,"Atp5mpl","RM"
"Cd2",4.37508977383884e-22,2.04870761054412,1,1,1.09941630926796e-17,"Cd2","RM"
"Rps25",5.84390367345408e-22,-0.517413352849758,1,1,1.46851455410228e-17,"Rps25","RM"
"Rorc",6.71363095021197e-22,-1.13056106952032,1,1,1.68706832147877e-17,"Rorc","RM"
"mt-Nd4l",8.31097743488037e-22,-0.88122133144201,1,1,2.08846551961109e-17,"mt-Nd4l","RM"
"Tnfaip3",2.1966466259382e-21,-0.571285301360642,1,1,5.5199533063201e-17,"Tnfaip3","RM"
"Ctla4",2.4091846466209e-21,1.62631524448292,1,1,6.05404009849366e-17,"Ctla4","RM"
"Gramd3",1.07589887963609e-20,2.02288263142067,1,1,2.70362629463754e-16,"Gramd3","RM"
"Cep290",1.70367271279031e-20,-1.2875350338558,1,1,4.28115915997077e-16,"Cep290","RM"
"Rps16",2.13123485882575e-20,-0.41776543786693,1,1,5.35558007674323e-16,"Rps16","RM"
"Ndufa13",2.4451801171473e-20,-0.502974782851879,1,1,6.14449311637945e-16,"Ndufa13","RM"
"Ppp1r14b",2.49903618362433e-20,-1.00930052332087,1,1,6.27982802582959e-16,"Ppp1r14b","RM"
"Ndufc2",2.6460297537296e-20,-0.795588519580403,1,1,6.64920816814712e-16,"Ndufc2","RM"
"Mgat5",2.83920721138972e-20,-1.08005212915593,1,1,7.13464380150122e-16,"Mgat5","RM"
"Ifng",2.97818784423511e-20,2.76554587153655,1,1,7.48388823377841e-16,"Ifng","RM"
"Rps11",3.6495098748555e-20,-0.322133659248759,1,1,9.17085336452438e-16,"Rps11","RM"
"Rps17",3.76952386481372e-20,-0.392483337036918,1,1,9.47243651989039e-16,"Rps17","RM"
"Rpl27",6.06056907159085e-20,-0.311828243143482,1,1,1.52296040200007e-15,"Rpl27","RM"
"Saraf",6.07112411296625e-20,-0.592788463402805,1,1,1.52561277834729e-15,"Saraf","RM"
"Pcp4l1",6.38488658350436e-20,-1.22387946026473,1,1,1.60445814956881e-15,"Pcp4l1","RM"
"Apoe",1.12301125552012e-19,-2.58358037833014,1,1,2.82201498399651e-15,"Apoe","RM"
"Psmb9",2.66783051043161e-19,1.49935957092733,1,1,6.70399128966358e-15,"Psmb9","RM"
"Cox7a2",3.28150188547716e-19,-0.559516011465329,1,1,8.24608608801555e-15,"Cox7a2","RM"
"Rora",3.45203842524521e-19,-1.1817111056563,1,1,8.6746273587987e-15,"Rora","RM"
"Mgst3",4.0235372430041e-19,-1.24881423775224,1,1,1.0110746737945e-14,"Mgst3","RM"
"Rpl36",4.83329116398123e-19,-0.519915610116541,1,1,1.21455773659684e-14,"Rpl36","RM"
"Sptssa",5.55886497707759e-19,-1.20544109143113,1,1,1.39688718008983e-14,"Sptssa","RM"
"Fosl2",6.16068963406444e-19,-0.740534587541294,1,1,1.54811969814405e-14,"Fosl2","RM"
"Rps19",6.73216397442971e-19,-0.435917954051195,1,1,1.69172548513444e-14,"Rps19","RM"
"Ltb4r1",7.71619306518776e-19,-1.6116211884318,1,1,1.93900215535103e-14,"Ltb4r1","RM"
"Krt83",7.80501619687842e-19,-1.70758696734809,1,1,1.96132252011358e-14,"Krt83","RM"
"Trac",8.11764411275661e-19,1.1968597327897,1,1,2.03988278909461e-14,"Trac","RM"
"Grcc10",8.43119718250737e-19,-0.57933445643015,1,1,2.11867553999228e-14,"Grcc10","RM"
"Tomm7",8.90363454529475e-19,-0.738758027729237,1,1,2.23739432488712e-14,"Tomm7","RM"
"Csf2",9.22004534596189e-19,-1.24061390179954,1,1,2.31690519498676e-14,"Csf2","RM"
"Rps29",1.08185563508766e-18,-0.297527924943426,1,1,2.71859502541178e-14,"Rps29","RM"
"Rpl38",1.38362670583732e-18,-0.29210927380813,1,1,3.47691554909859e-14,"Rpl38","RM"
"Ddx3x",1.71239858339714e-18,-0.954469398333794,1,1,4.30308640021868e-14,"Ddx3x","RM"
"Hlf",1.92809504049992e-18,-1.09267042419238,1,1,4.84511002727225e-14,"Hlf","RM"
"Psmb8",2.08980416814209e-18,1.15662199671313,1,1,5.25146889412427e-14,"Psmb8","RM"
"Ndufa4",3.35449325387292e-18,-0.571206248044755,1,1,8.42950609765725e-14,"Ndufa4","RM"
"Atp5j2",3.45392559630538e-18,-0.52263018653233,1,1,8.6793696309558e-14,"Atp5j2","RM"
"Serpinb1a",3.45644595961924e-18,-1.60109885531155,1,1,8.68570305192718e-14,"Serpinb1a","RM"
"Hdlbp",3.92222997171591e-18,-0.916589605158401,1,1,9.85617169592491e-14,"Hdlbp","RM"
"Cox8a",5.78884686092222e-18,-0.426847399884083,1,1,1.45467932768114e-13,"Cox8a","RM"
"Atp5a1",6.58971606913056e-18,-0.557390534196686,1,1,1.65592975101182e-13,"Atp5a1","RM"
"Atp5l",6.67893514078717e-18,-0.39825547380668,1,1,1.67834961152841e-13,"Atp5l","RM"
"Ccl5",6.95047993820513e-18,1.70423010245358,1,1,1.74658610367157e-13,"Ccl5","RM"
"Epsti1",8.77850417237313e-18,1.71592753672518,1,1,2.20595031347564e-13,"Epsti1","RM"
"Hist1h1e",9.64417022865119e-18,2.10285174606708,1,1,2.42348353675776e-13,"Hist1h1e","RM"
"Kctd12",1.00216588280572e-17,-0.970927194375171,1,1,2.5183426469025e-13,"Kctd12","RM"
"Uqcrb",1.04155795542243e-17,-0.733617166419566,1,1,2.61733098618102e-13,"Uqcrb","RM"
"Ndufb4",1.2652367314882e-17,-0.85596771021056,1,1,3.1794133825567e-13,"Ndufb4","RM"
"Srsf5",1.47595650434653e-17,-0.661775367110787,1,1,3.70893109977241e-13,"Srsf5","RM"
"Rpl22",1.5195464642143e-17,-0.554524903589608,1,1,3.81846830992411e-13,"Rpl22","RM"
"Cd74",1.86812010566962e-17,-1.6315773704403,1,1,4.69439901353718e-13,"Cd74","RM"
"Cwc25",2.75623899178897e-17,-1.0168060228952,1,1,6.92615296246649e-13,"Cwc25","RM"
"Dusp2",2.94480723546166e-17,1.47312284198964,1,1,7.40000610199161e-13,"Dusp2","RM"
"Osbpl3",2.96735026973467e-17,-0.96271070803,1,1,7.45665449281624e-13,"Osbpl3","RM"
"Rpl17",4.28589516317098e-17,-0.329865910296538,1,1,1.07700259555324e-12,"Rpl17","RM"
"Neat1",5.13921087780336e-17,-0.869549449040396,1,1,1.29143230148321e-12,"Neat1","RM"
"Dynll1",5.17310132994904e-17,-0.585813195869645,1,1,1.29994863320289e-12,"Dynll1","RM"
"Slc38a1",6.26646814167973e-17,-0.822548293640098,1,1,1.5747007793227e-12,"Slc38a1","RM"
"Uqcrh",7.7887450297891e-17,-0.483094545714146,1,1,1.9572337385357e-12,"Uqcrh","RM"
"Selenot",7.91169895607407e-17,-0.821153503169236,1,1,1.98813083067185e-12,"Selenot","RM"
"Sec61g",8.52103582475668e-17,-0.517164560479553,1,1,2.14125109240311e-12,"Sec61g","RM"
"Rpl37",1.03182012909831e-16,-0.396571565384608,1,1,2.59286080241115e-12,"Rpl37","RM"
"Atp5j",1.47130110254308e-16,-0.475799442291861,1,1,3.69723254058051e-12,"Atp5j","RM"
"Ccr5",1.87472892555739e-16,2.22473357485392,1,1,4.71100631703316e-12,"Ccr5","RM"
"Cxcr6",2.28279952814546e-16,-0.820296614204253,1,1,5.73644693427672e-12,"Cxcr6","RM"
"Lztfl1",2.41972233728404e-16,-1.07849695538727,1,1,6.08052026136106e-12,"Lztfl1","RM"
